student_id,group_id,enrolled_at
38,5,2025-09-04T17:41:36.882470
38,147,2025-09-04T17:41:36.882472
38,52,2025-09-04T17:41:36.882473
38,51,2025-09-04T17:41:36.882474
38,149,2025-09-04T17:41:36.882475
38,93,2025-09-04T17:41:36.882476
38,95,2025-09-04T17:41:36.882476
38,131,2025-09-04T17:41:36.882477
38,97,2025-09-04T17:41:36.882477
38,6,2025-09-04T17:41:36.882478
38,111,2025-09-04T17:41:36.882478
38,134,2025-09-04T17:41:36.882479
40,5,2025-09-04T17:41:36.882480
40,147,2025-09-04T17:41:36.882480
40,149,2025-09-04T17:41:36.882481
40,93,2025-09-04T17:41:36.882481
40,127,2025-09-04T17:41:36.882482
40,122,2025-09-04T17:41:36.882483
40,129,2025-09-04T17:41:36.882483
40,78,2025-09-04T17:41:36.882484
40,77,2025-09-04T17:41:36.882484
40,84,2025-09-04T17:41:36.882485
40,86,2025-09-04T17:41:36.882485
40,82,2025-09-04T17:41:36.882486
40,80,2025-09-04T17:41:36.882486
40,36,2025-09-04T17:41:36.882487
40,102,2025-09-04T17:41:36.882487
40,107,2025-09-04T17:41:36.882488
40,109,2025-09-04T17:41:36.882488
40,8,2025-09-04T17:41:36.882489
40,120,2025-09-04T17:41:36.882490
40,117,2025-09-04T17:41:36.882490
40,34,2025-09-04T17:41:36.882491
40,137,2025-09-04T17:41:36.882492
40,88,2025-09-04T17:41:36.882492
40,72,2025-09-04T17:41:36.882493
40,61,2025-09-04T17:41:36.882493
53,5,2025-09-04T17:41:36.882494
53,52,2025-09-04T17:41:36.882494
53,51,2025-09-04T17:41:36.882495
53,93,2025-09-04T17:41:36.882496
53,148,2025-09-04T17:41:36.882496
53,15,2025-09-04T17:41:36.882497
53,125,2025-09-04T17:41:36.882497
53,127,2025-09-04T17:41:36.882498
53,122,2025-09-04T17:41:36.882498
53,129,2025-09-04T17:41:36.882499
53,95,2025-09-04T17:41:36.882499
53,17,2025-09-04T17:41:36.882500
53,64,2025-09-04T17:41:36.882500
53,77,2025-09-04T17:41:36.882501
53,131,2025-09-04T17:41:36.882501
53,97,2025-09-04T17:41:36.882502
53,6,2025-09-04T17:41:36.882503
53,111,2025-09-04T17:41:36.882503
53,134,2025-09-04T17:41:36.882504
53,36,2025-09-04T17:41:36.882504
53,102,2025-09-04T17:41:36.882505
53,107,2025-09-04T17:41:36.882505
53,109,2025-09-04T17:41:36.882506
53,8,2025-09-04T17:41:36.882506
53,120,2025-09-04T17:41:36.882507
53,117,2025-09-04T17:41:36.882531
53,34,2025-09-04T17:41:36.882532
53,137,2025-09-04T17:41:36.882534
53,88,2025-09-04T17:41:36.882535
53,72,2025-09-04T17:41:36.882535
62,51,2025-09-04T17:41:36.882536
62,93,2025-09-04T17:41:36.882537
62,148,2025-09-04T17:41:36.882538
62,38,2025-09-04T17:41:36.882538
62,94,2025-09-04T17:41:36.882539
63,52,2025-09-04T17:41:36.882540
63,50,2025-09-04T17:41:36.882540
63,4,2025-09-04T17:41:36.882541
63,93,2025-09-04T17:41:36.882541
63,148,2025-09-04T17:41:36.882542
63,26,2025-09-04T17:41:36.882543
63,27,2025-09-04T17:41:36.882544
63,28,2025-09-04T17:41:36.882544
63,127,2025-09-04T17:41:36.882545
63,122,2025-09-04T17:41:36.882545
63,129,2025-09-04T17:41:36.882546
63,95,2025-09-04T17:41:36.882549
63,97,2025-09-04T17:41:36.882549
63,6,2025-09-04T17:41:36.882550
63,102,2025-09-04T17:41:36.882550
64,93,2025-09-04T17:41:36.882551
65,5,2025-09-04T17:41:36.882551
65,52,2025-09-04T17:41:36.882552
65,93,2025-09-04T17:41:36.882552
65,148,2025-09-04T17:41:36.882553
65,25,2025-09-04T17:41:36.882554
65,127,2025-09-04T17:41:36.882554
65,122,2025-09-04T17:41:36.882555
65,129,2025-09-04T17:41:36.882555
65,17,2025-09-04T17:41:36.882556
65,64,2025-09-04T17:41:36.882556
65,6,2025-09-04T17:41:36.882557
65,34,2025-09-04T17:41:36.882557
67,93,2025-09-04T17:41:36.882558
68,93,2025-09-04T17:41:36.882559
69,50,2025-09-04T17:41:36.882559
69,93,2025-09-04T17:41:36.882560
71,48,2025-09-04T17:41:36.882560
72,51,2025-09-04T17:41:36.882565
72,93,2025-09-04T17:41:36.882566
72,148,2025-09-04T17:41:36.882566
72,25,2025-09-04T17:41:36.882567
73,93,2025-09-04T17:41:36.882568
75,147,2025-09-04T17:41:36.882569
75,52,2025-09-04T17:41:36.882569
75,125,2025-09-04T17:41:36.882570
75,122,2025-09-04T17:41:36.882570
75,129,2025-09-04T17:41:36.882571
75,95,2025-09-04T17:41:36.882571
75,97,2025-09-04T17:41:36.882572
75,6,2025-09-04T17:41:36.882572
75,102,2025-09-04T17:41:36.882573
76,93,2025-09-04T17:41:36.882573
76,148,2025-09-04T17:41:36.882574
76,25,2025-09-04T17:41:36.882574
76,106,2025-09-04T17:41:36.882575
76,105,2025-09-04T17:41:36.882576
77,93,2025-09-04T17:41:36.882576
78,51,2025-09-04T17:41:36.882577
78,93,2025-09-04T17:41:36.882577
78,148,2025-09-04T17:41:36.882578
79,93,2025-09-04T17:41:36.882578
80,51,2025-09-04T17:41:36.882579
80,93,2025-09-04T17:41:36.882580
80,15,2025-09-04T17:41:36.882580
81,149,2025-09-04T17:41:36.882581
81,50,2025-09-04T17:41:36.882582
81,93,2025-09-04T17:41:36.882582
81,148,2025-09-04T17:41:36.882583
81,48,2025-09-04T17:41:36.882583
81,125,2025-09-04T17:41:36.882584
81,127,2025-09-04T17:41:36.882584
82,147,2025-09-04T17:41:36.882585
82,93,2025-09-04T17:41:36.882586
82,148,2025-09-04T17:41:36.882586
82,25,2025-09-04T17:41:36.882587
82,15,2025-09-04T17:41:36.882587
82,28,2025-09-04T17:41:36.882588
82,16,2025-09-04T17:41:36.882588
83,147,2025-09-04T17:41:36.882589
83,93,2025-09-04T17:41:36.882589
83,40,2025-09-04T17:41:36.882590
83,41,2025-09-04T17:41:36.882590
83,15,2025-09-04T17:41:36.882591
83,145,2025-09-04T17:41:36.882591
83,124,2025-09-04T17:41:36.882592
83,94,2025-09-04T17:41:36.882592
83,42,2025-09-04T17:41:36.882593
83,65,2025-09-04T17:41:36.882593
86,149,2025-09-04T17:41:36.882594
86,50,2025-09-04T17:41:36.882594
86,93,2025-09-04T17:41:36.882595
86,92,2025-09-04T17:41:36.882595
86,30,2025-09-04T17:41:36.882596
86,29,2025-09-04T17:41:36.882596
86,31,2025-09-04T17:41:36.882597
86,16,2025-09-04T17:41:36.882597
87,50,2025-09-04T17:41:36.882598
87,93,2025-09-04T17:41:36.882598
88,149,2025-09-04T17:41:36.882599
88,16,2025-09-04T17:41:36.882599
88,78,2025-09-04T17:41:36.882600
89,149,2025-09-04T17:41:36.882601
89,93,2025-09-04T17:41:36.882601
91,52,2025-09-04T17:41:36.882602
91,4,2025-09-04T17:41:36.882602
91,93,2025-09-04T17:41:36.882603
91,148,2025-09-04T17:41:36.882603
91,25,2025-09-04T17:41:36.882605
91,122,2025-09-04T17:41:36.882606
91,95,2025-09-04T17:41:36.882607
91,97,2025-09-04T17:41:36.882608
92,52,2025-09-04T17:41:36.882608
